lng	lat	count
114.3584244819	34.8186773535	250
114.3437448187	34.8188777676	147
114.3479775733	34.8169910152	76
114.3460615047	34.8183962099	198
114.3419203445	34.8170703473	156
114.3602519048	34.8202465559	111
114.3507763478	34.8188968972	198
114.3434857264	34.8175276054	191
114.3619601085	34.8205547874	86
114.3435222935	34.8176118873	120
114.3533422593	34.8176952291	237
114.3571588163	34.8209866078	15
114.3475862967	34.8179652681	57
114.3494614003	34.8195066702	159
114.3505436736	34.8204857135	217
114.3614937972	34.8204966984	219
114.3471983764	34.8177384681	160
114.3420268351	34.8177490632	143
114.3619306188	34.8165814504	71
114.3443771362	34.8190782182	17
114.3486196557	34.8200703406	144
114.3464094921	34.8194306103	112
114.3608134356	34.8198407807	109
114.3536862966	34.8175504814	95
114.3608383956	34.8172773471	67
114.3423324996	34.8213447802	219
114.3425263574	34.8183685089	230
114.3519349404	34.8204748603	47
114.353922018	34.8207970385	19
114.3411067075	34.8183445363	106
114.3621038727	34.819567308	116
114.3598453001	34.819958754	84
114.3576730895	34.821588782	36
114.3424693103	34.8204885831	28
114.3462042996	34.8178302812	223
114.3494138662	34.8195269168	198
114.3586909983	34.8193794647	45
114.3524081559	34.8180898727	237
114.352911139	34.8178028101	9
114.3589075305	34.8210358805	15
114.3486159003	34.8210754891	186
114.349981515	34.8215993439	243
114.3587539165	34.8173821894	86
114.3528718754	34.819171911	79
114.3464151813	34.8183281776	223
114.3592874786	34.8199257393	227
114.3447317765	34.8181789014	152
114.3435621741	34.8203228756	143
114.3537207073	34.8186717702	88
114.3571021702	34.818635844	78
114.3512228888	34.8187258972	39
114.3440843672	34.8175624164	37
114.3595434297	34.8204091164	26
114.3440150043	34.8207893967	81
114.3505998965	34.8193249767	149
114.3496573351	34.8190477854	53
114.3514784636	34.8195870297	63
114.3599089624	34.8168356541	188
114.3468200845	34.819534413	215
114.349954186	34.8196081562	192
114.3446123737	34.8162722393	1
114.3468980847	34.8180498979	250
114.3621205108	34.8172152472	243
114.3598636547	34.8196036197	98
114.3509642171	34.8212635856	130
114.3603467907	34.8177871488	51
114.3510208961	34.8202736569	82
114.3514942964	34.8178107149	88
114.3604600783	34.819382383	26
114.3493316491	34.8191182774	81
114.3572923685	34.8178378411	247
114.358180988	34.820896571	243
114.3605100235	34.8187874602	108
114.351129031	34.8189539677	245
114.352188664	34.8163117879	65
114.3594900464	34.8191315806	158
114.3503780307	34.8176451693	122
114.3477203608	34.8196644398	120
114.3479233088	34.8165344856	106
114.3490905821	34.8180696241	247
114.3424903458	34.8182270813	110
114.3527809586	34.8185114213	33
114.3588698937	34.8211720466	148
114.352759806	34.8205527437	152
114.3449864521	34.8204965396	64
114.3553399843	34.8178752988	86
114.3496191115	34.8168468363	155
114.3503121466	34.8176629038	249
114.3433661644	34.8211459767	139
114.3515035701	34.8205163965	169
114.3546845064	34.8165367592	67
114.3513887328	34.8162091275	71
114.3578225442	34.821113915	173
114.3517883979	34.8177608558	17
114.346756706	34.8172628992	186
114.3422655373	34.8191971134	185
114.3529026107	34.8168228867	131
114.3498522557	34.8199565023	243
114.3468555181	34.8215780741	78
114.3553215557	34.8161822983	122
114.3592987101	34.8182950994	87
114.3551901647	34.8184746109	39
114.3416971277	34.8200474646	122
114.3528097381	34.821019528	18
114.3421287469	34.8163700305	90
114.3511874671	34.8202456305	9
114.3618382346	34.8192368409	217
114.3588079505	34.8208897357	7
114.3487758988	34.8173486029	211
114.3573977461	34.8185522758	2
114.3535038789	34.8208665379	165
114.3605726594	34.8170616186	194
114.3543724087	34.8195149939	55
114.3412914566	34.8214804399	107
114.3466087757	34.8191687786	84
114.3568516277	34.8187755641	138
114.3485749622	34.8189068781	208
114.3465249198	34.8202689021	106
114.3416203697	34.8186393774	69
114.3470743599	34.8195381391	10
114.3546074452	34.819408252	8
114.359820394	34.819374622	203
114.3510118633	34.8207065395	223
114.3620538174	34.8208921331	161
114.351849871	34.8211400009	114
114.3541903285	34.8215286805	203
114.3497414471	34.8171726643	62
114.3557415163	34.8188494115	34
114.3516331951	34.8186725692	207
114.3530099302	34.8204853853	194
114.3559280507	34.818138826	12
114.3475979326	34.8210358547	162
114.3492720395	34.8165287522	203
114.3468566031	34.8181245335	239
114.3433294418	34.8172572786	148
114.3566499152	34.8196394219	50
114.342567059	34.8187985997	50
114.3453695973	34.8188361924	119
114.3438233427	34.818638259	88
114.3546608843	34.8175981884	111
114.3592591865	34.8202724245	1
114.3565048701	34.8203120427	203
114.3570065107	34.8215611903	7
114.3578000385	34.8216024908	4
114.3526875847	34.8174628542	222
114.3512967558	34.8201093431	206
114.3473771459	34.8163668833	80
114.3411442839	34.8172262851	61
114.342450284	34.8204368266	228
114.3539602415	34.8180398057	8
114.348297214	34.8195008806	88
114.3588478349	34.8205858931	36
114.3491093109	34.8173598686	208
114.3553938839	34.8175249466	62
114.3569162198	34.8192228834	81
114.3469540943	34.8196516393	183
114.3429816692	34.8189453803	118
114.360850577	34.8193704901	222
114.3582639691	34.8206260111	71
114.346839536	34.8182656494	9
114.3563779316	34.8167617679	51
114.3429020163	34.8175925873	149
114.3577662374	34.8195953586	34
114.3487978668	34.8212517963	3
114.3535760474	34.8199335017	78
114.3448988605	34.8204957163	188
114.3563031069	34.8173856468	30
114.3531986391	34.8172360299	197
